Donald J. Trump,"March 31, 2017","Executive Order 13787—Providing an Order of Succession Within the Department of Justice"
Donald J. Trump,"April 18, 2017","Executive Order 13788—Buy American and Hire American"
Donald J. Trump,"April 21, 2017","Executive Order 13789—Identifying and Reducing Tax Regulatory Burdens"
Barack Obama,"January 16, 2016","Executive Order 13716—Revocation of Executive Orders 13574 13590 13622 and 13645 With Respect to Iran Amendment of Executive Order 13628 With Respect to Iran and Provision of Implementation Authorities for Aspects of Certain Statutory Sanctions Outside the Scope of U.S. Commitments Under the Joint Comprehensive Plan of Action of July 14 2015"
Barack Obama,"February 2, 2016","Executive Order 13717—Establishing a Federal Earthquake Risk Management Standard"
Barack Obama,"February 9, 2016","Executive Order 13718—Commission on Enhancing National Cybersecurity"
Barack Obama,"February 9, 2016","Executive Order 13719—Establishment of the Federal Privacy Council"
Barack Obama,"February 26, 2016","Executive Order 13720—Delegation of Certain Authorities and Assignment of Certain Functions under the Trade Preferences Extension Act of 2015"
Barack Obama,"March 14, 2016","Executive Order 13721—Developing an Integrated Global Engagement Center To Support Government-wide Counterterrorism Communications Activities Directed Abroad and Revoking Executive Order 13584"
Barack Obama,"March 15, 2016","Executive Order 13722—Blocking Property of the Government of North Korea and the Workers' Party of Korea and Prohibiting Certain Transactions With Respect to North Korea"
Barack Obama,"March 30, 2016","Executive Order 13723—Establishing the Inherent Resolve Campaign Medal"
Barack Obama,"April 8, 2016","Executive Order 13724—Amending Executive Order 12137"
Barack Obama,"April 15, 2016","Executive Order 13725—Steps To Increase Competition and Better Inform Consumers and Workers To Support Continued Growth of the American Economy"
Barack Obama,"April 19, 2016","Executive Order 13726—Blocking Property and Suspending Entry Into the United States of Persons Contributing to the Situation in Libya"
Barack Obama,"May 6, 2016","Executive Order 13727—Facilitation of a Presidential Transition"
Barack Obama,"May 18, 2016","Executive Order 13729—A Comprehensive Approach to Atrocity Prevention and Response"
Barack Obama,"May 18, 2016","Executive Order 13728—Wildland-Urban Interface Federal Risk Mitigation"
Barack Obama,"May 20, 2016","Executive Order 13730—2016 Amendments to the Manual for Courts Martial United States"
Barack Obama,"June 24, 2016","Executive Order 13731—Global Entrepreneurship"
Barack Obama,"July 1, 2016","Executive Order 13732—United States Policy on Pre- and Post-Strike Measures to Address Civilian Casualties in U.S. Operations Involving the Use of Force"
Barack Obama,"July 22, 2016","Executive Order 13733—Delegation of Certain Authorities and Assignment of Certain Functions Under the Trade Facilitation and Trade Enforcement Act of 2015"
Barack Obama,"August 3, 2016","Executive Order 13734—Amending Executive Order 13675 To Expand Membership on the President's Advisory Council on Doing Business in Africa"
Barack Obama,"August 12, 2016","Executive Order 13735—Providing an Order of Succession Within the Department of the Treasury"
Barack Obama,"August 12, 2016","Executive Order 13736—Providing an Order of Succession Within the Department of Veterans Affairs"
Barack Obama,"August 12, 2016","Executive Order 13737—Providing an Order of Succession Within the Environmental Protection Agency"
Barack Obama,"August 23, 2016","Executive Order 13738—Amendment to Executive Order 13673"
Barack Obama,"September 14, 2016","Executive Order 13739—Termination of Emergency With Respect to the Situation in or in Relation to Côte d'Ivoire"
Barack Obama,"September 16, 2016","Executive Order 13740—2016 Amendments to the Manual for Courts Martial United States"
Barack Obama,"September 29, 2016","Executive Order 13741—Amending Executive Order 13467 To Establish the Roles and Responsibilities of the National Background Investigations Bureau and Related Matters"
Barack Obama,"October 7, 2016","Executive Order 13742—Termination of Emergency With Respect to the Actions and Policies of the Government of Burma"
Barack Obama,"October 13, 2016","Executive Order 13743—Charitable Fundraising"
Barack Obama,"October 13, 2016","Executive Order 13744—Coordinating Efforts To Prepare the Nation for Space Weather Events"
Barack Obama,"October 31, 2016","Executive Order 13745—Delegation of Function to the Director of the Office of Personnel Management"
Barack Obama,"November 3, 2016","Executive Order 13746—Advancing the Goals of the Power Africa Initiative to Expand Access to Electricity in Sub-Saharan Africa Through the Establishment of the President's Power Africa Working Group"
Barack Obama,"November 4, 2016","Executive Order 13747—Advancing the Global Health Security Agenda to Achieve a World Safe and Secure From Infectious Disease Threats"
Barack Obama,"November 16, 2016","Executive Order 13748—Establishing a Community Solutions Council"
Barack Obama,"November 29, 2016","Executive Order 13750—Providing for the Appointment of Alumni of the Fulbright U.S. Student Program the Benjamin A. Gilman International Scholarship Program and the Critical Language Scholarship Program to the Competitive Service"
Barack Obama,"November 29, 2016","Executive Order 13749—Providing for the Appointment in the Competitive Service of Certain Employees of the Foreign Service"
Barack Obama,"December 5, 2016","Executive Order 13751—Safeguarding the Nation From the Impacts of Invasive Species"
Barack Obama,"December 8, 2016","Executive Order 13752—Relating to the Implementation of the Convention on the International Recovery of Child Support and Other Forms of Family Maintenance"
Barack Obama,"December 9, 2016","Executive Order 13753—Amending the Order of Succession in the Department of Homeland Security"
Barack Obama,"December 9, 2016","Executive Order 13754—Northern Bering Sea Climate Resilience"
Barack Obama,"December 23, 2016","Executive Order 13755—Providing an Order of Succession Within the Department of Labor"
Barack Obama,"December 27, 2016","Executive Order 13756—Adjustments of Certain Rates of Pay"
Barack Obama,"December 28, 2016","Executive Order 13757—Taking Additional Steps To Address the National Emergency With Respect to Significant Malicious Cyber-Enabled Activities"
Barack Obama,"December 28, 2016","Annex to the Executive Order on Taking Additional Steps To Address the National Emergency With Respect to Significant Malicious Cyber-Enabled Activities"
Barack Obama,"January 2, 2015","Executive Order 13687—Imposing Additional Sanctions With Respect to North Korea"
Barack Obama,"January 16, 2015","Executive Order 13688—Federal Support for Local Law Enforcement Equipment Acquisition"
Barack Obama,"January 21, 2015","Executive Order 13689—Enhancing Coordination of National Efforts in the Arctic"
Barack Obama,"January 30, 2015","Executive Order 13690—Establishing a Federal Flood Risk Management Standard and a Process for Further Soliciting and Considering Stakeholder Input"
Barack Obama,"February 13, 2015","Executive Order 13691—Promoting Private Sector Cybersecurity Information Sharing"
Barack Obama,"March 8, 2015","Executive Order 13692—Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Venezuela"
Barack Obama,"March 19, 2015","Executive Order 13693—Planning for Federal Sustainability in the Next Decade"
Barack Obama,"April 1, 2015","Executive Order 13694—Blocking the Property of Certain Persons Engaging in Significant Malicious Cyber-Enabled Activities"
Barack Obama,"May 26, 2015","Executive Order 13695—Termination of Emergency With Respect to the Risk of Nuclear Proliferation Created by the Accumulation of a Large Volume of Weapons-Usable Fissile Material in the Territory of the Russian Federation"
Barack Obama,"June 17, 2015","Executive Order 13696—2015 Amendments to the Manual for Courts-Martial United States"
Barack Obama,"June 22, 2015","Executive Order 13697—Amendment to Executive Order 11155 Awards for Special Capability in Career and Technical Education"
Barack Obama,"June 24, 2015","Executive Order 13698—Hostage Recovery Activities"
Barack Obama,"June 26, 2015","Executive Order 13699—Establishing the Advisory Board on Toxic Substances and Worker Health"
Barack Obama,"July 15, 2015","Executive Order 13700—Establishing an Emergency Board To Investigate Disputes Between New Jersey Transit Rail and Certain of Its Employees Represented by Certain Labor Organizations"
Barack Obama,"July 17, 2015","Executive Order 13701—Delegation of Certain Authorities and Assignment of Certain Functions Under the Bipartisan Congressional Trade Priorities and Accountability Act of 2015"
Barack Obama,"July 29, 2015","Executive Order 13702—Creating a National Strategic Computing Initiative"
Barack Obama,"July 30, 2015","Executive Order 13703—Implementing the National HIV/AIDS Strategy for the United States for 2015-2020"
Barack Obama,"August 17, 2015","Executive Order 13704—Presidential Innovation Fellows Program"
Barack Obama,"September 3, 2015","Executive Order 13705—Designating the International Renewable Energy Agency as a Public International Organization Entitled To Enjoy Certain Privileges Exemptions and Immunities"
Barack Obama,"September 7, 2015","Executive Order 13706—Establishing Paid Sick Leave for Federal Contractors"
Barack Obama,"September 15, 2015","Executive Order 13707—Using Behavioral Science Insights To Better Serve the American People"
Barack Obama,"September 30, 2015","Executive Order 13708—Continuance or Reestablishment of Certain Federal Advisory Committees"
Barack Obama,"October 2, 2015","Executive Order 13709—National Security Medal"
Barack Obama,"November 12, 2015","Executive Order 13711—Establishing an Emergency Board To Investigate Disputes Between New Jersey Transit Rail and Certain of Its Employees Represented by Certain Labor Organizations"
Barack Obama,"November 12, 2015","Executive Order 13710—Termination of Emergency With Respect to the Actions and Policies of Former Liberian President Charles Taylor"
Barack Obama,"November 22, 2015","Executive Order 13712—Blocking Property of Certain Persons Contributing to the Situation in Burundi"
Barack Obama,"December 11, 2015","Executive Order 13713—Half-Day Closing of Executive Departments and Agencies of the Federal Government on Thursday December 24 2015"
Barack Obama,"December 15, 2015","Executive Order 13714—Strengthening the Senior Executive Service"
Barack Obama,"December 18, 2015","Executive Order 13715—Adjustments of Certain Rates of Pay"
Barack Obama,"January 17, 2014","Executive Order 13656—Establishment of the Afghanistan and Pakistan Strategic Partnership Office and Amendment to Executive Order 12163"
Barack Obama,"February 10, 2014","Executive Order 13657—Changing the Name of the National Security Staff to the National Security Council Staff"
Barack Obama,"February 12, 2014","Executive Order 13658—Establishing a Minimum Wage for Contractors"
Barack Obama,"February 19, 2014","Executive Order 13659—Streamlining the Export/Import Process for America's Businesses"
Barack Obama,"March 6, 2014","Executive Order 13660—Blocking Property of Certain Persons Contributing to the Situation in Ukraine"
Barack Obama,"March 16, 2014","Executive Order 13661—Blocking Property of Additional Persons Contributing to the Situation in Ukraine"
Barack Obama,"March 20, 2014","Executive Order 13662—Blocking Property of Additional Persons Contributing to the Situation in Ukraine"
Barack Obama,"March 20, 2014","Executive Order 13663—Establishing an Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations"
Barack Obama,"April 3, 2014","Executive Order 13664—Blocking Property of Certain Persons With Respect to South Sudan"
Barack Obama,"April 8, 2014","Executive Order 13665—Non-Retaliation for Disclosure of Compensation Information"
Barack Obama,"April 18, 2014","Executive Order 13666—Expanding Eligibility for the Defense Meritorious Service Medal"
Barack Obama,"May 12, 2014","Executive Order 13667—Blocking Property of Certain Persons Contributing to the Conflict in the Central African Republic"
Barack Obama,"May 27, 2014","Executive Order 13668—Ending Immunities Granted to the Development Fund for Iraq and Certain Other Iraqi Property and Interests in Property Pursuant to Executive Order 13303 as Amended"
Barack Obama,"June 13, 2014","Executive Order 13669—2014 Amendments to the Manual for Courts-Martial United States"
Barack Obama,"June 14, 2014","Executive Order 13670—Establishing an Emergency Board To Investigate Disputes Between the Southeastern Pennsylvania Transportation Authority and Certain of Its Employees Represented by Certain Labor Organizations"
Barack Obama,"July 8, 2014","Executive Order 13671—Taking Additional Steps To Address the National Emergency With Respect to the Conflict in the Democratic Republic of the Congo"
Barack Obama,"July 21, 2014","Executive Order 13672—Further Amendments to Executive Order 11478 Equal Employment Opportunity in the Federal Government and Executive Order 11246 Equal Employment Opportunity"
Barack Obama,"July 31, 2014","Executive Order 13674—Revised List of Quarantinable Communicable Diseases"
Barack Obama,"July 31, 2014","Executive Order 13673—Fair Pay and Safe Workplaces"
Barack Obama,"August 5, 2014","Executive Order 13675—Establishing the President's Advisory Council on Doing Business in Africa"
Barack Obama,"September 18, 2014","Executive Order 13676—Combating Antibiotic-Resistant Bacteria"
Barack Obama,"September 23, 2014","Executive Order 13677—Climate-Resilient International Development"
Barack Obama,"October 3, 2014","Executive Order 13678—Conversion Authority for Criminal Investigators (Special Agents) of the Bureau of Alcohol Tobacco Firearms and Explosives"
Barack Obama,"October 10, 2014","Executive Order 13679—Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Its Locomotive Engineers Represented by the Brotherhood of Locomotive Engineers and Trainmen"
Barack Obama,"October 16, 2014","Executive Order 13680—Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty"
Barack Obama,"October 17, 2014","Executive Order 13681—Improving the Security of Consumer Financial Transactions"
Barack Obama,"December 5, 2014","Executive Order 13682—Closing of Executive Departments and Agencies of the Federal Government on Friday December 26 2014"
Barack Obama,"December 11, 2014","Executive Order 13683—Further Amendments to Executive Order 11030 Executive Order 13653 and Executive Order 13673"
Barack Obama,"December 18, 2014","Executive Order 13684—Establishment of the President's Task Force on 21st Century Policing"
Barack Obama,"December 19, 2014","Executive Order 13685—Blocking Property of Certain Persons and Prohibiting Certain Transactions With Respect to the Crimea Region of Ukraine"
Barack Obama,"December 19, 2014","Executive Order 13686—Adjustments of Certain Rates of Pay"
Barack Obama,"February 12, 2013","Executive Order 13636—Improving Critical Infrastructure Cybersecurity"
Barack Obama,"March 8, 2013","Executive Order 13637—Administration of Reformed Export Controls"
Barack Obama,"March 15, 2013","Executive Order 13638—Amendments to Executive Order 12777"
Barack Obama,"March 28, 2013","Executive Order 13639—Establishment of the Presidential Commission on Election Administration"
Barack Obama,"April 5, 2013","Executive Order 13640—Continuance of Advisory Council"
Barack Obama,"April 5, 2013","Executive Order 13641—Adjustment of Certain Rates of Pay"
Barack Obama,"May 9, 2013","Executive Order 13642—Making Open and Machine Readable the New Default for Government Information"
Barack Obama,"May 15, 2013","Executive Order 13643—2013 Amendments to the Manual for Courts-Martial United States"
Barack Obama,"May 21, 2013","Executive Order 13644—Amendment to Executive Order 13639"
Barack Obama,"June 3, 2013","Executive Order 13645—Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Freedom and Counter-Proliferation Act of 2012 and Additional Sanctions With Respect to Iran"
Barack Obama,"June 25, 2013","Executive Order 13646—Establishing the President's Advisory Council on Financial Capability for Young Americans"
Barack Obama,"June 26, 2013","Executive Order 13647—Establishing the White House Council on Native American Affairs"
Barack Obama,"July 1, 2013","Executive Order 13648—Combating Wildlife Trafficking"
Barack Obama,"July 15, 2013","Executive Order 13649—Accelerating Improvements in HIV Prevention and Care in the United States Through the HIV Care Initiative"
Barack Obama,"August 1, 2013","Executive Order 13650—Improving Chemical Facility Safety and Security"
Barack Obama,"August 6, 2013","Executive Order 13651—Prohibiting Certain Imports of Burmese Jadeite and Rubies"
Barack Obama,"September 30, 2013","Executive Order 13652—Continuance of Certain Federal Advisory Committees"
Barack Obama,"November 1, 2013","Executive Order 13653—Preparing the United States for the Impacts of Climate Change"
Barack Obama,"November 21, 2013","Executive Order 13654—Establishing an Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of its Employees Represented by Certain Labor Organizations"
Barack Obama,"December 23, 2013","Executive Order 13655—Adjustments of Certain Rates of Pay"
Barack Obama,"January 19, 2012","Executive Order 13597—Establishing Visa and Foreign Visitor Processing Goals and the Task Force on Travel and Competitiveness"
Barack Obama,"January 27, 2012","Executive Order 13598—Assignment of Functions Relating to Certain Promotion and Appointment Actions in the Armed Forces"
Barack Obama,"February 5, 2012","Executive Order 13599—Blocking Property of the Government of Iran and Iranian Financial Institutions"
Barack Obama,"February 9, 2012","Executive Order 13600—Establishing the President's Global Development Council"
Barack Obama,"February 28, 2012","Executive Order 13601—Establishment of the Interagency Trade Enforcement Center"
Barack Obama,"March 15, 2012","Executive Order 13602—Establishing a White House Council on Strong Cities Strong Communities"
Barack Obama,"March 16, 2012","Executive Order 13603—National Defense Resources Preparedness"
Barack Obama,"March 22, 2012","Executive Order 13604—Improving Performance of Federal Permitting and Review of Infrastructure Projects"
Barack Obama,"April 13, 2012","Executive Order 13605—Supporting Safe and Responsible Development of Unconventional Domestic Natural Gas Resources"
Barack Obama,"April 22, 2012","Executive Order 13606—Blocking the Property and Suspending Entry into the United States of Certain Persons With Respect to Grave Human Rights Abuses by the Governments of Iran and Syria Via Information Technology"
Barack Obama,"April 27, 2012","Executive Order 13607—Establishing Principles of Excellence for Educational Institutions Serving Service Members Veterans Spouses and Other Family Members"
Barack Obama,"May 1, 2012","Executive Order 13609—Promoting International Regulatory Cooperation"
Barack Obama,"May 1, 2012","Executive Order 13608—Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria"
Barack Obama,"May 10, 2012","Executive Order 13610—Identifying and Reducing Regulatory Burdens"
Barack Obama,"May 16, 2012","Executive Order 13611—Blocking Property of Persons Threatening the Peace Security or Stability of Yemen"
Barack Obama,"May 21, 2012","Executive Order 13615—Providing an Order of Succession Within the Office of Management and Budget"
Barack Obama,"May 21, 2012","Executive Order 13614—Providing an Order of Succession Within the Environmental Protection Agency"
Barack Obama,"May 21, 2012","Executive Order 13613—Providing an Order of Succession Within the Department of Commerce"
Barack Obama,"May 21, 2012","Executive Order 13612—Providing an Order of Succession Within the Department of Agriculture"
Barack Obama,"June 14, 2012","Executive Order 13616—Accelerating Broadband Infrastructure Deployment"
Barack Obama,"June 25, 2012","Executive Order 13617—Blocking Property of the Government of the Russian Federation Relating to the Disposition of Highly Enriched Uranium Extracted From Nuclear Weapons"
Barack Obama,"July 6, 2012","Executive Order 13618—Assignment of National Security and Emergency Preparedness Communications Functions"
Barack Obama,"July 11, 2012","Executive Order 13619—Blocking Property of Persons Threatening the Peace Security or Stabilization of Burma"
Barack Obama,"July 20, 2012","Executive Order 13620—Taking Additional Steps To Address the National Emergency With Respect to Somalia"
Barack Obama,"July 26, 2012","Executive Order 13621—White House Initiative on Educational Excellence for African Americans"
Barack Obama,"July 30, 2012","Executive Order 13622—Authorizing Additional Sanctions With Respect to Iran"
Barack Obama,"August 10, 2012","Executive Order 13623—Preventing and Responding to Violence Against Women and Girls Globally"
Barack Obama,"August 30, 2012","Executive Order 13624—Accelerating Investment in Industrial Energy Efficiency"
Barack Obama,"August 31, 2012","Executive Order 13625—Improving Access to Mental Health Services for Veterans Service Members and Military Families"
Barack Obama,"September 10, 2012","Executive Order 13626—Gulf Coast Ecosystem Restoration"
Barack Obama,"September 25, 2012","Executive Order 13627—Strengthening Protections Against Trafficking in Persons in Federal Contracts"
Barack Obama,"October 9, 2012","Executive Order 13628—Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Threat Reduction and Syria Human Rights Act of 2012 and Additional Sanctions With Respect to Iran"
Barack Obama,"October 26, 2012","Executive Order 13629—Establishing the White House Homeland Security Partnership Council"
Barack Obama,"December 6, 2012","Executive Order 13630—Establishment of an Interagency Task Force on Commercial Advocacy"
Barack Obama,"December 7, 2012","Executive Order 13632—Establishing the Hurricane Sandy Rebuilding Task Force"
Barack Obama,"December 7, 2012","Executive Order 13631—Reestablishment of Advisory Group"
Barack Obama,"December 21, 2012","Executive Order 13634—Reestablishment of Advisory Commission"
Barack Obama,"December 21, 2012","Executive Order 13633—Closing of Executive Departments and Agencies of the Federal Government on Monday December 24 2012"
Barack Obama,"December 27, 2012","Executive Order 13635—Adjustments of Certain Rates of Pay"
Barack Obama,"January 18, 2011","Executive Order 13563—Improving Regulation and Regulatory Review"
Barack Obama,"January 31, 2011","Executive Order 13564—Establishment of the President's Council on Jobs and Competitiveness"
Barack Obama,"February 8, 2011","Executive Order 13565—Establishment of the Intellectual Property Enforcement Advisory Committees"
Barack Obama,"February 25, 2011","Executive Order 13566—Blocking Property and Prohibiting Certain Transactions Related to Libya"
Barack Obama,"March 7, 2011","Executive Order 13567—Periodic Review of Individuals Detained at Guantanamo Bay Naval Station Pursuant to the Authorization for Use of Military Force"
Barack Obama,"March 8, 2011","Executive Order 13568—Extending Provisions of the International Organizations Immunities Act to the Office of the High Representative in Bosnia and Herzegovina and the International Civilian Office in Kosovo"
Barack Obama,"April 5, 2011","Executive Order 13569—Amendments to Executive Orders 12824 12835 12859 and 13532 Reestablishment Pursuant to Executive Order 13498 and Revocation of Executive Order 13507"
Barack Obama,"April 18, 2011","Executive Order 13570—Prohibiting Certain Transactions With Respect to North Korea"
Barack Obama,"April 27, 2011","Executive Order 13571—Streamlining Service Delivery and Improving Customer Service"
Barack Obama,"April 29, 2011","Executive Order 13572—Blocking Property of Certain Persons With Respect to Human Rights Abuses in Syria"
Barack Obama,"May 18, 2011","Executive Order 13573—Blocking Property of Senior Officials of the Government of Syria"
Barack Obama,"May 23, 2011","Executive Order 13574—Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Sanctions Act of 1996 as Amended"
Barack Obama,"June 9, 2011","Executive Order 13575—Establishment of the White House Rural Council"
Barack Obama,"June 13, 2011","Executive Order 13576—Delivering an Efficient Effective and Accountable Government"
Barack Obama,"June 15, 2011","Executive Order 13577—Establishment of the SelectUSA Initiative"
Barack Obama,"July 6, 2011","Executive Order 13578—Coordinating Policies on Automotive Communities and Workers"
Barack Obama,"July 11, 2011","Executive Order 13579—Regulation and Independent Regulatory Agencies"
Barack Obama,"July 12, 2011","Executive Order 13580—Interagency Working Group on Coordination of Domestic Energy Development and Permitting in Alaska"
Barack Obama,"July 24, 2011","Executive Order 13581—Blocking Property of Transnational Criminal Organizations"
Barack Obama,"August 17, 2011","Executive Order 13582—Blocking Property of the Government of Syria and Prohibiting Certain Transactions With Respect to Syria"
Barack Obama,"August 18, 2011","Executive Order 13583—Establishing a Coordinated Government-Wide Initiative To Promote Diversity and Inclusion in the Federal Workforce"
Barack Obama,"September 9, 2011","Executive Order 13584—Developing an Integrated Strategic Counterterrorism Communications Initiative and Establishing a Temporary Organization To Support Certain Government-Wide Communications Activities Directed Abroad"
Barack Obama,"September 30, 2011","Executive Order 13585—Continuance of Certain Federal Advisory Committees"
Barack Obama,"October 6, 2011","Executive Order 13586—Establishing an Emergency Board To Investigate Disputes Between Certain Railroads Represented by the National Carriers' Conference Committee of the National Railway Labor Conference and Their Employees Represented by Certain Labor Organizations"
Barack Obama,"October 7, 2011","Executive Order 13587—Structural Reforms To Improve the Security of Classified Networks and the Responsible Sharing and Safeguarding of Classified Information"
Barack Obama,"October 31, 2011","Executive Order 13588—Reducing Prescription Drug Shortages"
Barack Obama,"November 9, 2011","Executive Order 13589—Promoting Efficient Spending"
Barack Obama,"November 20, 2011","Executive Order 13590—Authorizing the Imposition of Certain Sanctions With Respect to the Provision of Goods Services Technology or Support for Iran's Energy and Petrochemical Sectors"
Barack Obama,"November 23, 2011","Executive Order 13591—Continuance of Certain Federal Advisory Committees"
Barack Obama,"December 2, 2011","Executive Order 13592—Improving American Indian and Alaska Native Educational Opportunities and Strengthening Tribal Colleges and Universities"
Barack Obama,"December 13, 2011","Executive Order 13593—2011 Amendments to the Manual for Courts-Martial United States"
Barack Obama,"December 19, 2011","Executive Order 13595—Instituting a National Action Plan on Women Peace and Security"
Barack Obama,"December 19, 2011","Executive Order 13594—Adjustments of Certain Rates of Pay"
Barack Obama,"December 19, 2011","Executive Order 13596—Amendments to Executive Orders 12131 and 13539"
Barack Obama,"January 11, 2010","Executive Order 13528—Establishment of the Council of Governors"
Barack Obama,"January 16, 2010","Executive Order 13529—Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty"
Barack Obama,"January 29, 2010","Executive Order 13530—President's Advisory Council on Financial Capability"
Barack Obama,"February 18, 2010","Executive Order 13531—National Commission on Fiscal Responsibility and Reform"
Barack Obama,"February 26, 2010","Executive Order 13532—Promoting Excellence Innovation and Sustainability at Historically Black Colleges and Universities"
Barack Obama,"March 1, 2010","Executive Order 13533—Providing an Order of Succession Within the Department of Defense"
Barack Obama,"March 11, 2010","Executive Order 13534—National Export Initiative"
Barack Obama,"March 24, 2010","Executive Order 13535—Ensuring Enforcement and Implementation of Abortion Restrictions in the Patient Protection and Affordable Care Act"
Barack Obama,"April 12, 2010","Executive Order 13536—Blocking Property of Certain Persons Contributing to the Conflict in Somalia"
Barack Obama,"April 14, 2010","Executive Order 13537—Interagency Group on Insular Affairs"
Barack Obama,"April 19, 2010","Executive Order 13538—Establishing the President's Management Advisory Board"
Barack Obama,"April 21, 2010","Executive Order 13539—President's Council of Advisors on Science and Technology"
Barack Obama,"April 26, 2010","Executive Order 13540—Interagency Task Force on Veterans Small Business Development"
Barack Obama,"May 7, 2010","Executive Order 13541—Temporary Organization To Facilitate a Strategic Partnership With the Republic of Iraq"
Barack Obama,"May 13, 2010","Executive Order 13542—Providing an Order of Succession Within the Department of Agriculture"
Barack Obama,"May 21, 2010","Executive Order 13543—National Commission on the BP Deepwater Horizon Oil Spill and Offshore Drilling"
Barack Obama,"June 10, 2010","Executive Order 13544—Establishing the National Prevention Health Promotion and Public Health Council"
Barack Obama,"June 22, 2010","Executive Order 13545—President's Council on Fitness Sports and Nutrition"
Barack Obama,"July 2, 2010","Executive Order 13546—Optimizing the Security of Biological Select Agents and Toxins in the United States"
Barack Obama,"July 19, 2010","Executive Order 13547—Stewardship of the Ocean Our Coasts and the Great Lakes"
Barack Obama,"July 26, 2010","Executive Order 13548—Increasing Federal Employment of Individuals With Disabilities"
Barack Obama,"August 18, 2010","Executive Order 13550—Establishment of Pakistan and Afghanistan Support Office"
